,State,Total Agencies,Active Agencies,Pct Active
2,AL,423,1,0.2364066193853428
4,AR,310,294,94.83870967741936
6,AZ,124,5,4.032258064516129
9,CO,244,220,90.1639344262295
11,CT,107,94,87.85046728971963
13,DC,3,1,33.33333333333333
14,DE,62,62,100.0
19,HI,4,1,25.0
21,IA,254,241,94.88188976377953
23,ID,113,109,96.46017699115043
25,IL,931,1,0.10741138560687433
27,IN,374,112,29.946524064171122
29,KS,417,377,90.40767386091127
31,KY,492,439,89.22764227642277
33,LA,226,33,14.601769911504425
35,MA,412,300,72.81553398058253
37,MD,157,1,0.6369426751592357
39,ME,136,25,18.38235294117647
41,MI,659,626,94.99241274658573
43,MN,420,35,8.333333333333332
45,MO,624,25,4.006410256410256
47,MS,235,9,3.829787234042553
49,MT,115,105,91.30434782608695
52,ND,115,107,93.04347826086956
54,NE,269,92,34.20074349442379
56,NH,205,184,89.75609756097562
59,NM,127,1,0.7874015748031495
63,OH,856,546,63.78504672897196
65,OK,432,360,83.33333333333334
67,OR,241,200,82.98755186721992
69,PA,1511,29,1.9192587690271343
72,RI,49,47,95.91836734693877
74,SC,464,446,96.12068965517241
76,SD,141,112,79.43262411347519
77,TN,468,468,100.0
79,TX,1113,178,15.992812219227314
81,UT,145,74,51.03448275862069
83,VA,423,415,98.10874704491725
85,VT,90,90,100.0
87,WA,276,228,82.6086956521739
89,WI,443,148,33.40857787810384
91,WV,439,253,57.630979498861045
