,data_year,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,unknown
12,2017,210,509,1547,1062,681,536,259,94,55,12,71
5,2016,204,415,1548,992,615,496,244,111,48,13,52
21,2015,210,388,1324,892,523,446,205,108,44,10,57
20,2014,208,302,1076,695,526,377,204,97,41,10,48
17,2013,170,328,1077,728,487,382,176,90,38,12,56
11,2012,180,351,1165,733,499,441,167,84,42,6,52
1,2011,191,334,1097,700,536,341,165,66,49,10,47
18,2010,171,344,1074,677,479,332,181,72,47,5,46
4,2009,168,371,995,686,519,331,166,81,43,11,79
0,2008,181,352,963,644,483,305,116,61,40,8,97
13,2007,167,413,1117,625,480,293,130,55,38,3,97
3,2006,159,388,1007,651,535,324,112,73,36,6,111
9,2005,158,358,1056,678,472,251,106,75,35,7,122
25,2004,102,233,718,447,376,188,91,58,34,7,104
2,2003,112,211,655,395,359,173,69,55,31,7,65
7,2002,102,209,617,430,301,132,76,53,29,10,95
22,2001,99,191,583,399,269,157,85,58,27,5,85
14,2000,89,183,477,357,267,134,45,31,23,2,82
24,1999,60,151,340,262,194,96,47,25,16,4,34
10,1998,66,105,263,204,155,77,36,28,17,2,39
8,1997,36,91,204,185,125,56,35,24,11,3,23
15,1996,44,72,168,132,96,48,27,28,12,0,13
16,1995,25,43,112,126,75,29,19,17,3,3,6
6,1994,30,93,185,131,85,40,29,16,3,4,19
26,1993,26,91,216,149,89,40,16,18,17,2,18
19,1992,29,73,189,195,103,52,31,16,8,1,15
23,1991,24,105,251,202,102,38,38,16,11,1,28
