,american_indian,asian,black,data_year,native_hawaiian,unknown,white
0,17,25,1607,2008,0,93,1508
1,28,36,1815,2011,0,76,1581
2,6,26,954,2003,0,52,1094
3,14,35,1802,2006,0,66,1485
4,27,31,1710,2009,0,54,1628
5,33,48,2422,2016,0,91,2142
6,3,4,297,1994,0,9,322
7,3,15,937,2002,0,53,1046
8,2,21,301,1997,0,13,456
9,20,26,1772,2005,0,75,1425
10,4,9,377,1998,0,21,581
11,23,32,1909,2012,0,62,1694
12,43,54,2554,2017,0,102,2281
13,8,40,1747,2007,0,62,1561
14,9,26,735,2000,0,51,869
15,2,5,275,1996,0,7,351
16,2,6,203,1995,0,6,241
17,23,40,1796,2013,0,56,1629
18,26,31,1685,2010,0,49,1637
19,8,1,405,1992,0,10,288
20,26,36,1723,2014,0,73,1726
21,30,37,2169,2015,0,70,1901
22,7,18,858,2001,0,49,1026
23,0,1,532,1991,0,10,273
24,2,18,467,1999,0,27,715
25,11,15,1087,2004,0,58,1187
26,2,2,346,1993,0,7,325
